No.,Item_Name,Food_Category,Serving_Size,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Carbohydrates,Protein,Sugar,Dietary_Fiber
202,Whataburger Patty Melt Whatameal w/ Lower Calorie Sides,Burgers,1336,980,61,21,2,130,1790,56,49,11,2
203,Green Chile Double Jr Whatameal w/ Lower Calorie Sides,Burgers,1355,1010,57,21,2,125,1790,69,54,15,4
204,All Natural Budweiser Beer Cheese Bacon Burger Double,Burgers,403,940,55,24,2,155,1800,52,60,12,3
205,All Natural Budweiser Beer Cheese Bacon Burger Double,Burgers,403,940,55,24,,155,1800,52,60,12,3
206,Jalapeno & Cheese Whataburger,Burgers,352,680,32,12,1,65,1800,63,34,12,4
207,Pepperoni Pizza,Pizza,323,840,33,13,1,70,1800,97,35,8,4
208,Jalapeno & Cheese Whataburger,Burgers,352,680,32,12,1,65,1800,63,34,12,4
209,"Chicken Cobb Salad, High Calorie, Regular",Salads,474,1020,62,17,0,175,1800,73,42,20,6
210,"Grilled Burrito, Beef",Sandwiches,383,700,31,14,1.5,85,1800,71,36,5,8
211,Grilled Breakfast Sandwich,Sandwiches,253,620,29,10,0,490,1810,53,36,4,4
212,Grilled Breakfast Sandwich,Sandwiches,253,616,29,10,0,491,1813,53,36,4,4
213,1/3 lb Budweiser Beer Cheese Bacon Thickburger,Burgers,358,790,46,20,2,115,1820,51,43,12,2
214,1/3 lb Budweiser Beer Cheese Bacon Thickburger,Burgers,358,790,46,2046,,115,1820,51,43,12,2
215,California Club on Wheat Regular,Sandwiches,470,700,26.5,11.5,0,75,1820,71,45,8,9
216,The 1/3 lb Guacamole Bacon Thickburger,Burgers,387,1010,69,20,2,120,1830,57,35,14,4
217,Green Chile Club on Green Chile Bagel,Sandwiches,341,720,34,12,0.5,95,1830,62,43,9,3
218,Jalapeno & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1357,720,32,12,1,65,1830,73,34,17,5
219,Jalapeno & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1357,720,32,12,1,65,1830,73,34,17,5
220,"Meatball Pizza, 8 in",Pizza,344,860,33,14,1,80,1840,100,37,7,5
221,Macho Combo Burrito,Sandwiches,538,950,37,20,0.5,110,1840,100,46,6,16
222,#14 Veggie on White Giant,Sandwiches,719,1310,56.5,36,2,160,1850,133,65,16,5
223,California Club on White Regular,Sandwiches,470,700,26.5,11,0,75,1850,70,44,7,7
224,"Wildfire Chicken Salad, Full, 2pm Close",Salads,617,790,32,9,1,125,1860,75,52,29,9
225,#15 Meatball & Cheese on Tomato Wrap,Sandwiches,314,830,47.5,20.5,0,90,1860,64,36,10,6
226,#9 Club Supreme on Wheat Regular,Sandwiches,478,930,48,14.5,0,145,1865,70,57,8,5
227,"The Breakfast Burger, Double",Burgers,377,1080,64,26,2,305,1870,68,59,13,4
228,Sausage Pizza,Pizza,336,860,35,14,0.5,80,1870,98,35,8,4
229,#15 Meatball & Cheese on Spinach Wrap,Sandwiches,314,830,47.5,20.5,0,90,1880,65,36,7,6
230,Homestyle Ranch Chicken Club,Sandwiches,267,710,33,8,0,80,1880,66,40,12,4
231,"Epic Scrambler, Carne Asada Steak",Sandwiches,459,960,54,20,0,595,1890,73,39,6,3
232,Mushroom Swiss Burger,Burgers,409,1110,70,23,2,135,1890,61,56,11,3
233,Epic Scrambler w/ Carne Asada Steak,Sandwiches,459,960,54,20,0,595,1890,73,39,6,3
234,"Taco Salad, Ground Beef",Salads,569,890,56,18,1,90,1890,62,35,9,11
235,#9 Club Supreme on White Regular,Sandwiches,478,930,48,14,0,145,1895,68,56,7,3
236,#9 Club Supreme on Flour Tortilla Wrap,Sandwiches,474,960,54.5,16.5,0,145,1895,62,56,6,6
237,#8 Omelet w/ Ham & Bacon on Tomato Wrap,Sandwiches,309,740,39.5,17.5,0,500,1905,54,42,6,3
238,Bacon & Cheese Whataburger,Burgers,354,750,37,13,1,80,1910,62,39,12,4
239,Bacon & Cheese Whataburger,Burgers,354,750,37,13,1,80,1910,62,39,12,4
240,"#15 Meatball & Cheese, Flour Tortilla Wrap",Sandwiches,366,855,46.5,20,0,90,1920,73,37,11,9
241,"Taco Salad, Beef",Salads,506,920,56,17,5,70,1920,72,35,5,8
242,Mushroom Swiss Burger Whatameal w/ Lower Calorie Sides,Burgers,1414,1150,70,23,2,135,1920,71,56,16,4
243,#8 Omelet w/ Ham & Bacon on Spinach Wrap,Sandwiches,309,740,39.5,17.5,0,500,1925,55,42,3,3
244,Roast Turkey & Swiss Sandwich,Sandwiches,326,710,28,7,0,65,1930,79,38,15,5
245,The 1/3 lb Super Bacon Thickburger,Burgers,354,960,63,20,2,130,1930,55,40,13,3
246,"Taco Salad, Beef",Salads,506,930,56,17,,65,1930,73,35,7,9
247,"California Cheesesteak, Flour Tortilla Wrap",Sandwiches,467,880,53,17,0,130,1930,62,40,8,5
248,Roast Turkey & Swiss Sandwich,Sandwiches,326,710,28,7,0,65,1930,79,38,15,5
249,"California Cheesesteak, Wheat Regular",Sandwiches,477,875,47,15,0,130,1935,71,42,10,4
250,"California Cheesesteak, White Regular",Sandwiches,477,860,46.5,14.5,0,130,1935,68,41,9,2
251,Bacon & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1359,790,37,13,1,85,1940,72,40,17,5
252,Bacon & Cheese Whataburger Whatameal w/ Lower Calorie Sides,Burgers,1314,780,37,13,1,85,1940,70,39,15,4
253,"Taco Salad, Chicken",Salads,560,870,53,17,0,120,1950,60,40,9,9
254,"Taco Salad, Steak",Salads,560,870,53,17,0,120,1950,60,40,9,9
255,Turkey Club Mex Wrap,Sandwiches,350,720,40,11,0,80,1950,57,36,4,8
256,Cheesy Bacon Club,Sandwiches,351,820,41,16,1,120,1950,63,50,9,3
