Menu_Item_ID,Year,Restaurant_Item_Name,restaurant,Restaurant_ID,Item_Name,Item_Description,Food_Category,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber
50555,2018,Perkins Chocolate Chipper Sundae,Perkins,66,Chocolate Chipper Sundae,"Chocolate Chipper Sundae w/ Chocolate Chip Cookie Dough, Chocolate Chips, Hot Fudge, Maraschino Cherries, Non Dairy Dessert Topping & Vanilla Ice Cream, Bakery & Desserts, Ice Cream, Sweet Treats, Bakery, Bakery To Go",Desserts,347,,g,,1010,59,34,0,120,340,,113,8,92,4
118390,2018,Einstein Bros Roasted Veggie Tostini,Einstein Bros,31,Roasted Veggie Tostini,"Roasted Veggie Tostini w/ Roasted Asparagus, Sauteed Mushrooms, Spinach, Roasted Red Peppers, Balsamic Onions, Mozzarella Cheese & Garlic & Herb Shmear on Potato Roll, EBL Hot Sandwiches, Hot Sandwiches, License Locations Only",Sandwiches,232,,g,,500,20,11,0.5,50,970,,63,20,8,9
64404,2018,"Tim Hortons Bacon, Egg & Cheese on Biscuit",Tim Hortons,86,"Bacon, Egg & Cheese on Biscuit","Bacon, Egg & Cheese on Biscuit, Breakfast Sandwiches, Breakfast, Breakfast & Snacks, Hot Breakfast Sandwich",Sandwiches,158,,g,,420,23,13,0,195,1120,,34,19,5,2
174220,2018,Jersey Mike's Subs #18 Breaded Chicken Parmesan on Wheat Giant,Jersey Mike's Subs,45,#18 Breaded Chicken Parmesan on Wheat Giant,"#18 Breaded Chicken Parmesan on Wheat Giant w/ Breaded Chicken, Provolone Cheese, Tomato Sauce & Parmesan Cheese, Hot Subs",Sandwiches,665,,g,,1300,40,15.5,0,155,3050,,150,87,11,12
171829,2018,Del Taco Carne Asada Breakfast Burrito,Del Taco,27,Carne Asada Breakfast Burrito,"Carne Asada Breakfast Burrito w/ Carne Asada, Scrambled Eggs, Cheddar Cheese & Red Sauce in a Flour Tortilla, Breakfast",Sandwiches,245,,g,,500,24,10,0,400,1240,,40,28,2,1
69042,2018,Jersey Mike's Subs California Dreamin on White Giant,Jersey Mike's Subs,45,California Dreamin on White Giant,"California Dreamin on White Giant w/out Oil, Vinegar & Mayo, Cold Subs",Sandwiches,747,,g,,930,17,4,0,70,2985,,131,61,12,11
45457,2018,Jersey Mike's Subs Sausage on Spinach Wrap,Jersey Mike's Subs,45,Sausage on Spinach Wrap,"Sausage on Spinach Wrap, Hot Subs",Sandwiches,393,,g,,910,56.5,17.5,0,110,2600,,70,36,13,5
102290,2018,Subway Spicy Italian Flatizza,Subway,82,Spicy Italian Flatizza,"Spicy Italian Flatizza, Flatizza, Breakfast & Pizza, At Participating Locations",Pizza,181,,g,,500,25,11,0,60,1290,,44,26,4,2
113290,2018,Del Taco Epic Cali Steak & Guac Burrito,Del Taco,27,Epic Cali Steak & Guac Burrito,"Epic Cali Steak & Guac Burrito w/ Carne Asada Steak, Guacamole, Crinkle Cut Fries, Sour Cream & Pico de Gallo Salsa, Burritos",Sandwiches,414,,g,,800,39,13,0,70,1970,,80,30,5,7
172584,2018,Einstein Bros Turkey Sausage & Cheddar Egg Sandwich w/ Egg White,Einstein Bros,31,Turkey Sausage & Cheddar Egg Sandwich w/ Egg White,"Turkey Sausage & Cheddar Egg Sandwich w/ Egg White on Plain Bagel, EBB Egg Sandwiches, Egg White Classic",Sandwiches,215,,g,,430,10,4,0,45,910,,57,27,6,2
